Symbol,Name,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,4332899,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,3981460,Industrials,Aluminum
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,United States,2025,175,,
AACBR,Artius II Acquisition Inc. Rights,United States,2025,4,,
AACBU,Artius II Acquisition Inc. Units,United States,2025,1,Finance,Blank Checks
AACG,ATA Creativity Global American Depositary Shares,China,2008,8550,Real Estate,Other Consumer Services
AACIU,Armada Acquisition Corp. III Units,United States,2026,146638,Finance,Blank Checks
AACOU,Abony Acquisition Corp. I Units,United States,2026,1247,,
AAL,American Airlines Group Inc. Common Stock,United States,,92947758,Consumer Discretionary,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,United States,,15548,Finance,Life Insurance
AAMI,Acadian Asset Management Inc. Common Stock,United Kingdom,2014,442724,Finance,Investment Managers
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,24616159,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,1256729,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,1769685,Consumer Discretionary,Auto & Home Supply Stores
AAPG,Ascentage Pharma Group International American Depository Shares,China,2025,167,Health Care,Biotechnology: Pharmaceutical Preparations
AAPL,Apple Inc. Common Stock,United States,1980,72239120,Technology,Computer Manufacturing
AARD,Aardvark Therapeutics Inc. Common Stock,United States,2025,430323,Health Care,Biotechnology: Pharmaceutical Preparations
AAT,American Assets Trust Inc. Common Stock,United States,2011,703248,Real Estate,Real Estate Investment Trusts
AAUC,Allied Gold Corporation Common Shares,,2025,403289,,
AB,AllianceBernstein Holding L.P.  Units,United States,,220232,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,United States,,2768894,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,United States,2012,8004715,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,1252716,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,5332126,Health Care,Biotechnology: Pharmaceutical Preparations
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,590959,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,2013,18188638,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,184758,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABLV,Able View Global Inc. Class B Ordinary Shares,China,,1939,Consumer Discretionary,Other Consumer Services
ABLVW,Able View Global Inc. Warrant,China,,33,Consumer Discretionary,Other Consumer Services
ABM,ABM Industries Incorporated Common Stock,United States,,531868,Consumer Discretionary,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,6496904,Consumer Discretionary,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,853529,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABR,Arbor Realty Trust Common Stock,United States,2004,12518800,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,48270,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,11981,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,126612,,
ABSI,Absci Corporation Common Stock,United States,2021,2022421,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,United States,,13224800,Health Care,Biotechnology: Pharmaceutical Preparations
ABTC,American Bitcoin Corp. Class A Common Stock,United States,2018,8700407,Technology,EDP Services
ABTS,Abits Group Inc Ordinary Shares,China,,107471,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,2145109,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,United States,,83471,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,Canada,,1689582,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,Canada,,16302,Consumer Staples,Packaged Foods
